timestamp,heading,roll,pitch,accel_x,accel_y,accel_z
1752552553975,315.85,14.56,22.37,0.05,-0.15,10.08
1752552554074,316.58,16.36,23.0,0.1,-0.08,-0.1
1752552554174,317.53,18.08,23.54,0.1,-0.08,-0.1
1752552554274,318.7,19.71,24.0,0.1,-0.09,-0.1
1752552554374,320.08,21.24,24.38,0.1,-0.09,-0.1
1752552554474,321.68,22.67,24.67,0.1,-0.09,-0.09
1752552554574,323.48,23.99,24.87,0.1,-0.1,-0.09
1752552554674,325.49,25.19,24.98,0.09,-0.1,-0.09
1752552554774,327.7,26.27,25.0,0.09,-0.1,-0.09
1752552554874,330.1,27.22,24.93,0.09,-0.1,-0.09
1752552555074,335.45,28.71,24.52,0.08,-0.1,-0.08
1752552555174,338.39,29.25,24.18,0.07,-0.1,-0.08
1752552555274,341.5,29.65,23.76,0.06,-0.09,-0.07
1752552555374,344.77,29.89,23.25,0.06,-0.09,-0.07
1752552555474,348.19,30.0,22.65,0.05,-0.08,-0.07
1752552555574,351.75,29.95,21.98,0.04,-0.08,-0.06
1752552555678,355.44,29.76,21.22,0.04,-0.07,-0.06
1752552555774,359.25,29.43,20.39,0.03,-0.07,-0.06
1752552555874,3.19,28.94,19.49,0.02,-0.06,-0.05
1752552555974,7.22,28.32,18.52,0.01,-0.05,-0.05
1752552556074,11.35,27.56,17.47,0.01,-0.04,-0.04
1752552556174,15.57,26.66,16.37,-0.0,-0.04,-0.04
1752552556274,19.85,25.64,15.21,-0.01,-0.03,-0.03
1752552556374,24.2,24.49,13.99,-0.02,-0.02,-0.03
1752552556474,28.61,23.21,12.72,-0.03,-0.01,-0.02
1752552556574,33.05,21.83,11.41,-0.03,-0.0,-0.02
1752552556674,37.52,20.33,10.06,-0.04,0.01,-0.01
1752552556774,42.01,18.74,8.67,-0.05,0.02,-0.01
1752552556874,46.51,17.06,7.24,-0.05,0.03,-0.0
1752552556974,51.01,15.29,5.8,-0.06,0.03,0.0
1752552557074,55.49,13.45,4.33,-0.07,0.04,0.01
1752552557174,59.94,11.54,2.84,-0.07,0.05,0.01
1752552557274,64.36,9.57,1.35,-0.08,0.06,0.02
1752552557374,68.73,7.56,-0.15,-0.08,0.06,0.02
1752552557474,73.04,5.51,-1.65,-0.09,0.07,0.03
1752552557574,77.28,3.44,-3.14,-0.09,0.08,0.03
1752552557674,81.44,1.34,-4.62,-0.09,0.08,0.04
1752552557774,85.5,-0.76,-6.09,-0.1,0.09,0.04
1752552557874,89.47,-2.85,-7.53,-0.1,0.09,0.05
1752552557974,93.33,-4.93,-8.95,-0.1,0.09,0.05
1752552558074,97.06,-6.99,-10.33,-0.1,0.1,0.05
1752552558174,100.66,-9.02,-11.68,-0.1,0.1,0.06
1752552558274,104.13,-10.99,-12.98,-0.1,0.1,0.06
1752552558374,107.45,-12.92,-14.24,-0.1,0.1,0.07
1752552558474,110.61,-14.78,-15.45,-0.1,0.1,0.07
1752552558574,113.6,-16.57,-16.6,-0.09,0.1,0.07
